,titles,dates,origin,section,ID,exclusion_reason
1713,"Universities are places of free speech but everyone must feel safe, PM says of pro-Palestinian protests:   Justin Trudeau adds universities must be trusted to manage campuses as encampments crop up",2024-05-03, The Globe and Mail (Online); Toronto, National,3050239309,Federal politics (Trudeau on campus protests)
1714,Expert gardeners share their memorable gardening mistakes and happy accidents:   The Globe asked five Canadian gardening experts to share examples of some memorable missteps and the lessons they learned,2024-05-03, The Globe and Mail (Online); Toronto, lifeMain,3050058659,Lifestyle (gardening)
1715,"With decriminalization in trouble, conservatives are declaring a new war on drugs",2024-05-03," The Globe and Mail; Toronto, Ont.", News,3050008935,National/BC drug-decriminalization politics
1716,All aboard Alberta’s new passenger-rail plan:   The province imagines an agency like Ontario’s Metrolinx to fill its need for intercity transit,2024-05-03," The Globe and Mail; Toronto, Ont.", News,3050008923,Alberta passenger-rail plan
1717,Why some business owners might now consider holding investments personally:   KPMG’s Brian Ernewein explains how changes to the capital gains changes may affect the use of private corporations,2024-05-03, The Globe and Mail (Online); Toronto, Business,3049971173,Tax/advisor (capital gains and private corporations)
1718,"Gordon Campbell’s and Joy MacPhail’s paths cross as both receive the Order of Canada:   The B.C. politicians, who were at odds as premier and opposition leader, were honoured by Governor-General Mary Simon at Rideau Hall",2024-05-02, The Globe and Mail (Online); Toronto, Politics,3049873737,BC politics / Order of Canada
1719,Loblaw’s facade of benevolence has fully cracked:   The grocery empire has been permitted to grow so large that Galen Weston Jr. is now literally the face of inflation in Canada,2024-05-02, The Globe and Mail (Online); Toronto, Other,3049787847,Business/grocery (Loblaw and inflation)
1720,"With decriminalization in trouble, conservatives are declaring a new war on drugs:   Ending criminal charges for people using drugs isn’t bad policy, but in B.C., its execution was terrible",2024-05-02, The Globe and Mail (Online); Toronto, Other,3049715482,National/BC drug-decriminalization politics
1721,"All aboard Alberta’s new passenger-rail plan:   The province has announced the creation of a new agency in the mold of Ontario’s Metrolinx to sequence and build rail projects, filling a desperate need for intercity transit",2024-05-02, The Globe and Mail (Online); Toronto, Other,3049666159,Alberta passenger-rail plan
1722,Morning Update: Carbon capture faces doubts after $2.4-billion project axed:   Alberta-based Capital Power cites financial feasibility in decision to abandon proposal,2024-05-02, The Globe and Mail (Online); Toronto, National,3049656988,Alberta/climate (carbon-capture project cancelled)
1723,Thursday’s analyst upgrades and downgrades:   Inside the Market’s roundup of some of today’s key analyst actions,2024-05-02, The Globe and Mail (Online); Toronto, Business,3049656987,Markets column (analyst upgrades and downgrades)
1724,"Capital-gains budget change for employee stock options bites lower-level execs, not CEOs:   Shift in taxes will cut into employee stock options for those with smaller gains, such as junior executives",2024-05-02, The Globe and Mail (Online); Toronto, Business,3049623835,Federal capital-gains tax (stock options)
1725,Trudeau and Poilievre are in a risky game:   The degeneration of our political discourse is leading to a place where our democracy may be undermined,2024-05-02," The Globe and Mail; Toronto, Ont.", News,3049573806,Federal politics (Trudeau vs Poilievre discourse)
1726,"Budget change bites low-level execs, not CEOs:   Shift in taxes will cut into employee stock options for those with smaller gains",2024-05-02," The Globe and Mail; Toronto, Ont.", Report on Business,3049573793,Federal capital-gains tax (stock options)
1727,Federal public servants must work in offices three days a week: Treasury Board:   The Public Service Alliance of Canada says the move is a ‘misstep’ and failure for the federal government to innovate and adapt to changing work patterns,2024-05-01, The Globe and Mail (Online); Toronto, Politics,3049505719,Federal public service (return to office)
1728,"Month-long boycott of Loblaw-owned grocery brands and stores begins:   The call to boycott comes amid growing backlash against the grocery giant, with a petition to investigate Loblaw for ‘greedflation’ garnering more than 100,000 signatures.",2024-05-01, The Globe and Mail (Online); Toronto, National,3049492127,Business/grocery (Loblaw boycott)
1729,"Politics Briefing: Conservatives question House Speaker after ejecting Poilievre:   Conservatives said they had no confidence in Greg Fergus, but the Speaker has no intention of resigning",2024-05-01, The Globe and Mail (Online); Toronto, Politics,3049399297,"Federal politics (Speaker, Poilievre ejection)"
1730,Justin Trudeau and Pierre Poilievre are both playing a dangerous game:   The degeneration of our political discourse is leading to a place where our democracy may be undermined,2024-05-01, The Globe and Mail (Online); Toronto, Other,3049354820,Federal politics (Trudeau vs Poilievre discourse)
1731,"Opposition Leader could have avoided Speaker’s punishment, but he didn’t",2024-05-01," The Globe and Mail; Toronto, Ont.", News,3049105338,Federal politics (Poilievre ejection)
1732,Police watchdog investigating after crash kills four:   Special Investigations Unit to probe decision to pursue robbery suspect after collision kills couple and infant east of Toronto,2024-05-01," The Globe and Mail; Toronto, Ont.", News,3049105334,"Crime/incident (Highway 401 fatal crash, SIU probe)"
1734,Police watchdog investigating after Highway 401 crash kills four east of Toronto:   Special Investigations Unit to look into police decision to pursue robbery suspect after collision killed a couple and their infant grandchild on Monday evening,2024-04-30, The Globe and Mail (Online); Toronto, National,3049017608,"Crime/incident (Highway 401 fatal crash, SIU probe)"
1735,"Pierre Poilievre gets kicked out of the schoolyard:   Neither the Liberals nor the Conservatives seem to hear themselves level their taunts toward each other, and they don’t think they should stop",2024-04-30, The Globe and Mail (Online); Toronto, Politics,3049017607,Federal politics (Poilievre ejection)
1737,Politics Briefing: Poilievre ejected from House for refusing to withdraw Trudeau insult:   Also: MPs from all parties call for foreign agent registry; changes to capital gains tax expected to be addressed in standalone bill,2024-04-30, The Globe and Mail (Onli ne); Toronto, Politics,3048939899,Federal politics (Poilievre ejection)
1738,Morning Update: McGill University threatens police action to clear pro-Palestinian encampment:   Protest organizer says the university has ‘not engaged substantially in any negotiation about our actual demands’,2024-04-30, The Globe and Mail (Online); Toronto, National,3048346947,"News digest (McGill encampment, Quebec)"
1739,"Facing no-confidence motion over split with Greens, Scotland’s Yousaf resigns as first minister",2024-04-30," The Globe and Mail; Toronto, Ont.", News,3048282320,International (Scotland's first minister resigns)
1741,Hong Kong trans activist receives male ID card after years-long court battle,2024-04-30," The Globe and Mail; Toronto, Ont.", News,3048282304,International (Hong Kong trans activist)
1743,Evening Update: McGill students’ pro-Palestinian encampment declared illegal:   Also: India’s foreign intelligence agency linked to the slaying of Sikh activist; Canada needs to prepare for an aging population,2024-04-29, The Globe and Mail (Online ); Toronto, National,3048158720,"News digest (McGill encampment, Nijjar, aging population)"
1744,Politics Briefing: B.C.’s growing pains in decriminalizing drugs offer lessons for other provinces: Eby:   Also: Prime Minister goes on a podcast tour to pitch his policies; Anita Anand gears up to make public service more diverse,2024-04-29, The Globe and Mail (Online); Toronto, Politics,3048119730,BC/federal drug decriminalization
1745,"Globe Climate: So Canada bought a pipeline. Now what?:   We didn’t plan on buying a pipeline. Yet we ended up with one. So how did we get here, and what do we have to do now?",2024-04-29, The Globe and Mail (Online); Toronto, National,3047973506,Federal/climate (Trans Mountain pipeline)
1747,Hong Kong trans activist receives male ID card after years-long court battle:   Henry Tse says he hopes his ‘judicial marathon’ had made things easier for trans people in his country,2024-04-29, The Globe and Mail (Online); Toronto, International,3047798324,International (Hong Kong trans activist)
1756,"The notorious Section 33 has put our rights – and democracy – on the line:   Key decisions affecting the future of Canadian freedoms are on the near-term horizon, Peter L. Biro writes",2024-04-27," The Globe and Mail; Toronto, Ont.", Opinion,3048281131,National/constitutional commentary (the notwithstanding clause)
1758,BIRTH AND DEATH NOTICES,2024-04-27," The Globe and Mail; Toronto, Ont.", Sports,3047079550,Birth and death notices
1759,"We are no longer indispensable to an increasingly unstable U.S., and that’s a problem in this turbulent geopolitical moment. But it’s not too late to act decisively and make Canada matter again",2024-04-27," The Globe and Mail; Toronto, Ont.", Opinion,3047078264,Foreign-policy commentary (Canada and the US)
1760,Ottawa’s noble plan to fast-track francophone immigrants seems doomed to fail,2024-04-27," The Globe and Mail; Toronto, Ont.", Opinion,3047078261,Federal immigration policy (francophone immigrants)
1761,"Canadian youth:   Canadian youth questioning their gender identity are owed a careful review of best practices, Robyn Urback writes. But politicians and activists are getting in the way",2024-04-27," The Globe and Mail; Toronto, Ont.", Opinion,3047078247,National opinion (youth gender-identity care and politics)
1764,"Politics Briefing: Conservatives calling for Mark Carney to answer questions on his policy positions:   Also: Federal, Quebec governments commit almost $100-million to semiconductor factory; Former Manitoba premier Heather Stefanson ends 23-year career in politics",2024-04-26, The Globe and Mail (Online); Toronto, Politics,3046895446,Federal politics (Conservatives on Mark Carney)
1765,Trans youth deserve better:   Young Canadians questioning their gender identity are owed a careful review of best practices. Politicians and activists are both getting in the way,2024-04-26, The Globe and Mail (Online); Toronto, Other,3046508163,National opinion (youth gender-identity care)
1766,"Out of the spotlight: Hailing the unsung executives who move their companies forward:   ROB Magazine presents the fifth annual Best Executive Awards, celebrating executives in operations, finance, HR, tech, sustainability and mor e",2024-04-26, The Globe and Mail (Online); Toronto, Business,3046471533,Business awards feature
1774,Ottawa’s noble plan to fast-track francophone immigrants seems doomed to fail:   Rising separatist sentiment in the province is unlikely to be quelled by the federal Liberals’ new policy to bring more francophones to Canada at large,2024-04-25, The Globe and Mail (Online); Toronto, Other,3045031197,Federal immigration policy (francophone immigrants)
1775,"Morning Update: Canada’s per capita output drops 7% below trend, new Statscan report says:   Weak productivity, business investment contribute to sluggish economic performance",2024-04-25, The Globe and Mail (Online); Toronto, National,3045008532,Federal/economy (per-capita output report)
1776,"SPEAKER OF THE HOUSE HAD A PASSION FOR THE ENVIRONMENT:   He stepped down as fisheries minister after the tainted tuna scandal of 1985, but rather than fade from the spotlight, he took on the Commons leadership role a year later and leaves a solid record of achievement",2024-04-25," The Globe and Mail; Toronto, Ont.", Sports,3044887829,Obituary (former Speaker John Fraser)
1779,"Mark Carney says federal budget not focused enough on growth:   Carney warned of the risks of ‘constant spending’ and too much government subsidies, but congratulated the Liberals for investments in housing and AI",2024-04-24, The Globe and Mail (Online); Toronto, Politics,3044634655,Federal politics (Carney on the federal budget)
1780,"Speaker of the House John Fraser had a passion for the environment:   Fraser stepped down as fisheries minister after the tainted tuna scandal of 1985, but rather than fade from the spotlight, he took on the Commons leadership role a year later and leaves a solid record of achievement",2024-04-24, The Globe and Mail (Online); Toronto, National,3044593472,Obituary (former Speaker John Fraser)
1781,"Evening Update: Columbia University extends talks with Gaza war protesters, averting another confrontation:   Also: Interest rate reduction expected to be gradual; Ukraine bolsters its weary ranks of soldiers by lowering draft age",2024-04-24, The Globe and Mail (Online); Toronto, National,3044575350,"News digest (Columbia protests, rate cuts, Ukraine)"
1782,"Politics Briefing: Younger demographics not swayed by federal budget benefits targeted at them, poll indicates:   Also: Parti Québécois on the rise again; Ontario introduces legislation easing up on sick note requirements",2024-04-24, The Globe and Mail (Online); Toronto, Politics,3044547817,Politics briefing led by federal budget polling
1783,Market movers: Stocks seeing action on Wednesday - and why:   A survey of North American equities heading in both directions,2024-04-24, The Globe and Mail (Online); Toronto, Business,3044378052,Markets column (stock movers)
1789,Politics Briefing: Saskatchewan residents to get carbon rebates despite province’s opposition to pricing program:   Also: Ontario upholds ban on keffiyehs in legislature; Saskatchewan MP Gary Vidal to exit politics,2024-04-23, The Globe and Mail (Online); Toronto, Politics,3043940980,Politics briefing led by Saskatchewan carbon rebates
1790,"Evening Update: B.C. pauses social-media harms bill to work on online safety with platforms:   Premier David Eby issued a joint statement with Meta, TikTok, Snap and X, saying they will work to help young people stay safe online",2024-04-23, The Globe and Mail (Online); Toronto, National,3043940976,BC social-media harms legislation
1791,How Toronto Mayor Olivia Chow plans to fix a city in decline:   Olivia Chow inherited a financial hot mess when she became mayor of North America’s fourth-largest city last year. So what’s her plan?,2024-04-23, The Globe and Mail (Online); Toronto, Business,3043726992,Toronto municipal (Mayor Chow's plan for the city)
1794,"Changes to capital-gains tax may prompt doctors to quit, Canadian Medical Association warns:   Most physicians operate their practices as small businesses through medical professional corporations, which leaves them more sensitive to changes in capital-gains rules",2024-04-23, The Globe and Mail (Online); Toronto, Business,3043649497,Federal capital-gains tax and physicians (CMA)
1795,Is America heading for civil war? Don’t bet on it:   The U.S. has powerful ideals that hold it together and historical divisions that pull it apart. I’m still betting on the former,2024-04-23, The Globe and Mail (Online); Toronto, Business,3043633259,US politics (civil-war speculation)
1799,Navigating tax changes as a cottage owner:   Experts say the impact of the capital-gains increase is more likely to be felt by long-term investors than those flipping properties,2024-04-23," The Globe and Mail; Toronto, Ont.", Globe Investor,3043584732,Personal finance / tax (cottage capital gains)
1803,"Politics Briefing: Cana da creates registry to track use of plastics, part of a global move to eliminate the pollutant:   Also: Naheed Nenshi seen as front-runner in Alberta NDP leadership race; Karen Vecchio departs role of Status of Women chair",2024-04-22, The Globe and Mail (Online); Toronto, Politics,3043271548,"Federal environment (plastics registry), Alberta NDP"
1804,Own a cottage or investment property? Here’s how to navigate the new capital gains tax changes:   Experts say the impact of the capital-gains tax increase are more likely to be felt by long-term investors than those who are flipping properties,2024-04-22, The Globe and Mail (Online); Toronto, Business,3043271547,Personal finance / tax (cottage capital gains)
1806,"In environment coverage, The Globe’s green evolution has been a steady but imperfect process:   The Globe has often, if not always, been a fierce advocate for environmental solutions proposed by our best scientific minds",2024-04-22, The Globe and Mail (Online); Toronto, National,3042894250,Meta/history (the Globe's environmental coverage)
1807,"OUTSPOKEN CABINET MINISTER EARNED A REPUTATION FOR GETTING THINGS DONE:   Remembered for her career as a Woman of Firsts, her meteoric rise in politics began in remote Prince Rupert and ended with six high-profile years as B.C.’s lieutenant-governor",2024-04-22," The Globe and Mail; Toronto, Ont.", Sports,3042805847,Obituary (Iona Campagnolo)
1809,"Shades of green:   The Globe has often, if not always, been a fierce advocate for environmental solutions proposed by our best scientific minds. On Earth Day, as climate change hits Canadians where they live, that work is more important than ever",2024-04-22," The Globe and Mail; Toront o, Ont.", News,3042794433,Meta/history (the Globe's environmental coverage)
1812,"Every housing measure announced in the federal budget, the Home of the Week and more top real estate stories:   Plus, a reality check on 30-year mortgages",2024-04-20, The Globe and Mail (Online); Toronto, Business,3041836239,Federal budget housing measures
1815,"Outspoken Liberal cabinet minister Iona Campagnolo earned a reputation for getting things done:   Her meteoric rise in politics began in remote Prince Rupert, B.C., and ended with six high-profile years as the province’s lieutenant-governor",2024-04-19, The Globe and Mail (Online); Toronto, National,3041472088,Obituary (Iona Campagnolo)
1816,Evening Update: Jury selection complete in Trump criminal hush-money trial:   Also: Israel strikes back at Iran; court documents shed new light on Quadriga crypto fraud,2024-04-19, The Globe and Mail (Online); Toronto, National,3041472084,"News digest (Trump trial, Israel-Iran, Quadriga)"
1818,"Morning Update: Israel launches retaliatory strike on Iran:   Also: Ontario Premier Doug Ford, doctors criticize Ottawa’s capital-gains tax increase",2024-04-19, The Globe and Mail (Online); Toronto, National,3041174812,News digest led by Israel's strike on Iran
1819,"A multiplex reno tries to fit in:   ‘We never thought [by ] supplying housing in this community, we would be the bad guys,’ infill developer says",2024-04-19," The Globe and Mail; Toronto, Ont.", Real Estate,3041076277,Real estate feature (a Toronto infill multiplex)
1822,"Dominic LeBlanc says he supports PM, but doesn’t deny leadership organizing report",2024-04-19," The Globe and Mail; Toronto, Ont.", News,3041074780,Federal politics (LeBlanc and Liberal leadership)
1823,Labour leader says Poilievre is an adversary of unionized workers,2024-04-19," The Globe and Mail; Toronto, Ont.", News,3041072915,Federal politics (labour leader on Poilievre)
1826,"Federal minister Dominic LeBlanc says he supports PM, but doesn’t squash leadership organizing rumours:   Public Safety Minister, an ally of Justin Trudeau who supported his leadership bid in 2013, responds to reports he is preparing a Liberal Party leadership campaign",2024-04-18, The Globe and Mail (Online); Toronto, Politics,3040669147,Federal politics (LeBlanc and Liberal leadership)
1827,"Politics Briefing: Labour leader targets Poilievre, calls him ‘anti-worker politician’:   Bea Bruske, president of the Canadian Labour Congress, targeted the federal Conservative Leader in a speech in Ottawa today",2024-04-18, The Globe and Mail (Online); Toronto, Politics,3040669145,Federal politics (labour leader on Poilievre)
1828,Labour leader says Poilievre is an adversary of unionized workers:   Bea Bruske criticized “anti-worker laws” and “union-busting acts” of small-c conservative parties across the country,2024-04-18, The Globe and Mail (Online); Toronto, Politics,3040614714,Federal politics (labour leader on Poilievre)
1830,Morning Update: RCMP search ArriveCan contractor’s home day before House censure over refusal to answer questions:   Mounties say search not related to ArriveCan investigation; Kristian Firth summoned before the House of Commons for a rare admonishment from the Speaker,2024-04-18, The Globe and Mail (Online); Toronto, National,3040261638,"Federal contracting (ArriveCan, RCMP search)"
1831,"The trouble with transit-oriented development:   Transit-oriented development spreads out growth into little artificial islands, very often reinforcing inequalities",2024-04-18, The Globe and Mail (Online); Toronto, National,3040234393,Urban-planning essay (transit-oriented development)
1832,"The trouble with transit-oriented development:   Development in Toronto favours homeowners over renters, many of whom have no political pull",2024-04-18," The Globe and Mail; Toronto, Ont.", News,3040179633,Urban-planning essay (transit-oriented development)
1833,"The trouble with transit-oriented development:   Development in Toronto favours homeowners over renters, many of whom have no political pull",2024-04-18," The Globe and Mail; Toronto, Ont.", News,3040178888,Urban-planning essay (transit-oriented development)
1835,Market movers: Stocks seeing action on Wednesday - and why:   A survey of North American equities heading in both directions,2024-04-17, The Globe and Mail (Online); Toronto, Business,3039795332,Markets column (stock movers)
1836,"Politics Briefing: Inflation rate ticked higher in March, markets bet on June rate cut:   Easing price pressures underscore the potential for the Bank of Canada to lower interest rates; Plus, the federal budget 2024 to be presented at 4 p.m. ET",2024-04-16, The Globe and Mail (Online); Toronto, Politics,3039455373,Federal budget / inflation data
1837,"A multiplex reno tries to fit in:   ‘We never thought [by ] supplying housing in this community, we would be the bad guys,’ says infill developer",2024-04-16, The Globe and Mail (Online); Toronto, Other,3039269006,Real estate feature (a Toronto infill multiplex)
1838,Wab Kinew looks beyond the carbon tax:   Mr. Kinew also has ideas about what to do about the pressing challenge of climate and the mission to slash greenhouse gas emissions,2024-04-16, The Globe and Mail (Online); Toronto, Other,3039105606,Manitoba politics (Premier Kinew on the carbon tax)
1839,Looking beyond the carbon tax,2024-04-16," The Globe and Mail; Toronto, Ont.", News,3039067445,Manitoba politics (Premier Kinew on the carbon tax)
1842,"Politics Briefing: Joly dispatching David Morrison to thaw relations with Beijing:   The Foreign Affairs Minister is sending her her deputy minister to China to mend relations with the ruling Communist Party, sources say",2024-04-15, The Globe and Mail (Online); Toronto, Politics,3038769268,Federal foreign affairs (Canada-China relations)
1843,"Globe Climate: Why Norway is feeding Arctic foxes dog food:   To help an iconic Scandinavian animal avoid extinction, scientists are stocking the wilderness to get them through the winter",2024-04-15,NA, National,3038612782,Climate newsletter (Arctic foxes)
1844,"The carbon tax is almost dead, and NDP leaders are helping to kill it:   Both the Conservatives under Pierre Poilievre and the NDP under Jagmeet Singh aim to replace the carbon tax by enhancing other measures already in place",2024-04-15, The Globe and Mail (Online); Toronto, Politics,3038325044,Federal carbon tax politics
1845,"In Manitoba, the NDP cros ses to the middle:   A measured rise in health spending coupled with the discipline to return to balance will be proof that the NDP has steered Manitoba politics back to the centre of the road",2024-04-15, The Globe and Mail (Online); Toronto, Other,3038325041,Manitoba politics (NDP fiscal approach)
1846,Economists warn tax hikes are on the table in Tuesday’s budget:   The Finance Minister has fuelled that speculation in large part by refusing to rule out such measures on industries and the wealthy,2024-04-15, The Globe and Mail (Online); Toronto, Politics,3038309291,Federal budget (tax hike speculation)
1847,"Jagmeet Singh and Wab Kinew helping kill carbon tax:   The federal NDP Leader will follow in the footsteps of the Manitoba Premier, who cancelled a provincial gas tax after his election",2024-04-15," The Globe and Mail; Toronto, Ont.", News,3038258281,Federal/Manitoba carbon tax politics
1848,Tax hikes on the table in budget: experts:   Speculation fuelled by prebudget news of billions in spending to address affordability and housing shortages,2024-04-15," The Globe and Mail; Toronto, Ont.", News,3038258279,Federal budget (tax hike speculation)
1849,"In Manitoba, the NDP crosses to the middle",2024-04-15," The Globe and Mail; Toronto, Ont.", Editorial,3038257452,Manitoba politics (NDP fiscal approach)
1851,Is ‘cancel culture’ killing comedy?,2024-04-13," The Globe and Mail; Toronto, Ont.", Opinion,3039065129,Culture/US ('cancel culture' and comedy)
1852,"Even before the release of the federal budget, Ottawa’s pro-housing agenda is changing the country:   Ahead of the federal budget, a round up and analysis of the series of prebudget housing announcements and what still needs to happen",2024-04-13, The Globe and Mail (Online); Toronto, Entertainment,3037786633,Federal housing agenda
1853,BIRTH AND DEATH NOTICES,2024-04-13," The Globe and Mail; Toronto, Ont.", Sports,3037769043,Birth and death notices
1854,Conservative MPs display statesmanlike behaviour – not!,2024-04-13," The Globe and Mail; Toronto, Ont.", Opinion,3037741663,Federal politics (Conservatives mock Charlie Angus's retirement)
1856,Smith touts ‘stay-out-of-my-backyard’ bill:   Proposed law would stop municipalities from bypassing province in pursuit of federal funds,2024-04-13," The Globe and Mail; Toronto, Ont.", News,3037740741,Alberta (municipal funding bill)
1857,"Ottawa’s pro-housing agenda is changing Canada, even prebudget",2024-04-13," The Globe and Mail; Toronto, Ont.", News,3037740733,Federal housing agenda
1858,"Trudeau criticizes NDP for distancing itself from carbon pricing, concedes it’s an ‘unpopular position’",2024-04-13," The Globe and Mail; Toronto, Ont.", News,3037740731,Federal carbon pricing politics
1859,Biography of John Norquay offers a history lesson in Manitoba’s evolution:   Gerald Friesen traces the life and legacy of Canada’s first Indigenous premier,2024-04-13," The Globe and Mail; Toronto, Ont.", Books,3037740708,Manitoba history (John Norquay biography)
1860,"Trudeau slams NDP for distancing itself from carbon pricing, concedes it’s an ‘unpopular position’:   Trudeau accused NDP leader Jagmeet Singh of folding to political pressure on the issue",2024-04-12, The Globe and Mail (Online); Toronto, Politics,3037646053,Federal carbon pricing politics
1861,"Politics Briefing: CSIS director pushes back on notion he did not fully brief Liberals on Chinese interference:   Also: Liberals pledge to crack down on mortgage fraud, corporate ownership in latest housing announcement",2024-04-12, The Globe and Mail (Online); Toronto, Politics,3037615639,Federal foreign-interference inquiry (CSIS director)
1862,Biography on Manitoba’s first Indigenous premier John Norquay offers a history lesson:   John Norquay is the subject of a fine and comprehensive new biography by Gerald Friesen,2024-04-12, The Globe and Mail (Online); Toronto, Entertainment,3037311801,Manitoba history (John Norquay biography)
1863,"NDP, Liberals’ low popularity creates a unique opportunity to unite the federal left:   In the past, unite-the-left talk has foundered because one of the two parties was much more popular than the other and saw no benefit in merging",2024-04-12, The Globe and Mail (Online); Toronto, Politics,3037305060,Federal politics (uniting the left)
1864,"NDP, Liberals’ low popularity creates a unique opportunity to unite the federal left",2024-04-12," The Globe and Mail; Toronto, Ont.", News,3037246881,Federal politics (uniting the left)
1865,What clients want from a successor when their advisor retires:   Relationship-based skills may be more important than performance,2024-04-12, The Globe and Mail (Online); Toronto, Business,3037222408,Financial advisor newsletter
1866,Politics Briefing: Ottawa will release plan to address housing crisis on Friday:   Federal Housing Minister Sean Fraser said the plan will involve reducing the cost of homebuilding and measures to help communities with homeless encampements,2024-04-11, The Globe and Mail (Online); Toronto, Politics,3037081908,Federal housing plan
1867,"Conservative MPs display statesmanlike behaviour – not!:   Pierre Poilievre’s government-in-waiting ought to show that it can represent the country with class. Instead, the Tories embarrassed themselves by mocking Charlie Angus’s retirement",2024-04-11, The Globe and Mail (Online); Toronto, Other,3035717928,Federal politics (Conservatives mock Charlie Angus's retirement)
1869,"Morning Update: Trudeau casts doubt on CSIS intelligence about Chinese election interference:   Also: Under constant threat of Hezbollah fire, residents of Israeli town welcome wider war as path to peace",2024-04-11, The Globe and Mail (Online); Toronto, National,3035427471,Federal foreign-interference inquiry (Trudeau on CSIS)
1872,Alberta tables bill aimed at blocking funding deals between Ottawa and cities,2024-04-11," The Globe and Mail; Toronto, Ont.", News,3035370539,Alberta (municipal funding bill)
1873,"Trudeau casts doubt on CSIS intelligence about Chinese election interference:   Prime Minister questions how seriously Beijing worked to shape outcome of vote PM, who mostly relies on oral briefings, says he wasn’t told of key 2023 document Current, former public safety ministers also skeptical of spy agency’s conclusions",2024-04-11," The Globe and Mail; Toronto, Ont.", News,3035370533,Federal foreign-interference inquiry (Trudeau on CSIS)
1874,Alberta tables bill aimed at blocking funding deals between Ottawa and cities,2024-04-11," The Globe and Mail; Toronto, Ont.", News,3035368042,Alberta (municipal funding bill)
1875,"Alberta tables bill aimed at blocking funding deals between Ottawa, cities:   Municipal leaders, including the mayors for Alberta’s two largest cities, argue the legislation adds red tape, could delay projects and puts billions of dollars of federal funding at risk",2024-04-10, The Globe and Mail (Online); Toronto, National,3035290896,Alberta (municipal funding bill)
1876,"Trudeau casts doubt on CSIS intelligence about Chinese interference in 2019, 2021 elections:   The Prime Minister says it would ‘seem very improbable that the Chinese government would have a preference for the government’ of Canada",2024-04-10, The Globe and Mail (Online); Toronto, Politics,3035290895,Federal foreign-interference inquiry (Trudeau on CSIS)
1877,Evening Update: Trudeau and other ministers testify at foreign interference inquiry:   Also: Bank of Canada keeps key interest rate steady; Ontario PCs will support bill declaring intimate partner violence an epidemic,2024-04-10, The Globe and Mail (Online); Toronto, National,3035246777,News digest led by the federal foreign-interference inquiry
1878,"Politics Briefing: Trudeau and ministers testify at foreign interference inquiry:   Also, Bank of Canada holds rates steady yet again, Canada at risk of another bad wildfire season, and French PM in Canada to talk trade",2024-04-10, The Globe and Mail (Online); Toronto, Politics,3035226556,Federal foreign-interference inquiry
1882,"Morning Update: Han Dong was warned by Liberal Party member that CSIS was watching him, national security source says:   Spy agency provided classified briefing to Liberal Party officials about alleged irregularities in Dong’s 2019 nomination, Foreign Interference Commission hears",2024-04-10, The Globe and Mail (Online); Toronto, National,3034979329,Federal foreign-interference inquiry (Han Dong)
1884,"Han Dong was warned by Liberal Party member that CSIS was watching him, national security source says:   Spy agency provided classified briefing to Liberal Party officials about alleged irregularities in Dong’s 2019 nomination, Foreign Interference Commission hears",2024-04-10, The Globe and Mail (Online); Toronto, Politics,3034967455,Federal foreign-interference inquiry (Han Dong)
1886,"Dong was warned CSIS had eyes on him:   Liberal Party member alerted then-candidate after others were briefed on concerns about nomination, source says",2024-04-10," The Globe and Mail; Toronto, Ont.", News,3034921003,Federal foreign-interference inquiry (Han Dong)
1887,"Evening Update: PM, adviser didn’t accept CSIS warning about possible Chinese meddling in Toronto riding in 2019:   Also: For Palestinians in Ramallah, Eid brings no prospect of joy under the shadow of war",2024-04-09, The Globe and Mail (Online); Toronto, National,3034801727,Federal foreign-interference inquiry (Han Dong)
1888,"Politics Briefing: Trudeau challenged to a TV debate on carbon pricing:   Also: Budget to include $500-million for youth mental health; Freeland silent on raising taxes for wealthy Canadians, Corporate Canada",2024-04-09, The Globe and Mail (Online); Toronto, Politics,3034801726,Federal carbon pricing politics
1889,"Morning Update: Total solar eclipse stuns skygazers with momentary plunge into darkness:   In places where clouds were absent or where they parted at the key moment, the eclipse offered a rewarding view of the sun’s spiky corona and ruby-red prominences",2024-04-09, The Globe and Mail (Online); Toronto, National,3034642829,Science (total solar eclipse)
1890,"Nuclear players making a push into heavy industry:   From the Atlantic to the land-locked prairies, provinces are eyeing small modular reactors to provide not just electricity, but heat and energy for smelting and mining",2024-04-09, The Globe and Mail (Online); Toronto, Business,3034625336,National/New Brunswick energy (small modular reactors)
1891,Schools shouldn’t be places where kids go hungry,2024-04-09," The Globe and Mail; Toronto, Ont.", News,3034588306,Federal school food program
1892,"Nuclear players push into heavy industry:   Proposal would see hydrogen produced using small modular reactors, with residual heat used for various industrial activities",2024-04-09," The Globe and Mail; Toronto, Ont.", Report on Business,3034588304,National/New Brunswick energy (small modular reactors)
1894,Politics Briefing: New defence plan to raise spending by billions but still falls short of NATO targets:   Also: Ontario Premier wants paper bags back in liquor stores; politicians take to Parliament Hill to catch eclipse,2024-04-08, The Globe and Mail (Online); Toronto, Politics,3034493733,Politics briefing led by federal defence policy
1895,"Evening Update: Total eclipse exits Canada after skies darken across North America:   Also: Canadians and visitors gathered in six provinces to witness the celestial event, which won’t be seen in this country again until 2044.",2024-04-08, The Globe and Mail (Online); Toronto, National,3034493732,Science (total solar eclipse)
